Field,MR
90000.39844,0.3157
85000.26563,0.29192
80000.39844,0.26827
75000.3125,0.24464
70000.28125,0.2213
65000.36719,0.19841
60000.38281,0.17579
55000.37109,0.15378
50000.27734,0.13231
45000.30859,0.11169
40000.14844,0.09198
35000.21094,0.07342
30000.31055,0.05623
25000.36523,0.04075
19999.94336,0.02721
15000.01953,0.01599
9999.84668,0.00751
8999.99219,0.00615
8500.33301,0.00552
8000.26904,0.00493
7500.20605,0.00438
7000.41504,0.00384
6499.90039,0.00332
6000.01465,0.00285
5499.80859,0.0024
5000.35059,0.00204
4500.18066,0.00166
4000.34229,0.00133
3500.13647,0.00107
2999.84717,8.02E-04
2499.92603,5.83E-04
1999.68445,3.96E-04
1500.25,2.43E-04
1000.28143,1.17E-04
500.21793,5.00E-05
0.3324,0
-499.93298,2.34E-06
-999.60474,7.22E-05
-1499.84644,1.52E-04
-1999.82678,2.62E-04
-2499.62939,4.28E-04
-2999.76392,6.11E-04
-3499.59009,8.55E-04
-3999.57056,0.00109
-4499.646,0.00141
-4999.81641,0.00173
-5499.85645,0.00213
-5999.5874,0.00254
-6499.75781,0.00294
-6999.61963,0.00342
-7499.67139,0.00392
-7999.75879,0.00448
-8499.79883,0.00506
-8999.71973,0.00565
-9999.81152,0.00699
-14999.69922,0.01544
-19999.57422,0.02659
-24999.7832,0.04007
-29999.79102,0.05554
-34999.70313,0.0727
-39999.71875,0.09122
-44999.61719,0.11092
-49999.72266,0.13156
-54999.82031,0.15301
-59999.59375,0.17508
-64999.72656,0.1977
-69999.80469,0.22065
-74999.59375,0.24399
-79999.625,0.2677
-84999.60938,0.29142
-89999.58594,0.31526
