Field,DeltaG
90000.25,-1.02678
85000.22656,-0.97442
80000.34375,-0.91988
75000.36719,-0.86068
70000.39844,-0.79921
65000.29688,-0.73305
60000.28125,-0.66264
55000.38281,-0.58964
50000.45703,-0.51391
45000.22266,-0.43531
40000.41797,-0.35476
35000.21094,-0.27488
30000.18359,-0.19656
25000.3418,-0.12367
19999.72852,-0.05868
14999.86523,-0.00886
9999.76367,0.0196
8999.85059,0.02284
8500.15527,0.02481
8000.11475,0.02477
7500.28906,0.02598
7000.09473,0.02687
6499.85254,0.02631
5999.96729,0.02524
5499.78516,0.02603
5000.17236,0.02361
4499.94287,0.02281
4000.15234,0.02203
3500.0415,0.01865
2999.65723,0.0175
2499.85474,0.0158
1999.79126,0.01336
1500.06018,0.01013
999.81842,0.00654
500.40784,0.00262
-0.04749,0
-499.8855,0.00417
-999.97284,0.00694
-1499.82263,0.00784
-1999.5896,0.01142
-2499.68872,0.01497
-2999.7522,0.01693
-3499.68506,0.01815
-3999.79614,0.02093
-4499.70557,0.0227
-4999.68604,0.02457
-5499.76172,0.02175
-5999.62305,0.02201
-6499.81738,0.02388
-6999.78564,0.0237
-7499.82568,0.02392
-7999.66357,0.02372
-8499.86914,0.02215
-8999.83887,0.0214
-9999.65625,0.01684
-14999.61523,-0.01408
-19999.57422,-0.0636
-24999.80664,-0.12574
-29999.71875,-0.19717
-34999.62891,-0.27517
-39999.63672,-0.35506
-44999.80859,-0.43539
-49999.85156,-0.51369
-54999.73047,-0.59056
-59999.60547,-0.66349
-64999.59375,-0.7329
-69999.82813,-0.79813
-74999.67969,-0.85977
-79999.66406,-0.91874
-84999.64844,-0.97321
-89999.58594,-1.02452
